,Местное время,T,meteostation
228087,2022-10-11 08:00:00,7.8,Ножовка
228095,2022-10-10 08:00:00,6.8,Ножовка
228103,2022-10-09 08:00:00,8.5,Ножовка
228111,2022-10-08 08:00:00,7.6,Ножовка
228119,2022-10-07 08:00:00,7.8,Ножовка
228127,2022-10-06 08:00:00,7.1,Ножовка
228135,2022-10-05 08:00:00,8.0,Ножовка
228143,2022-10-04 08:00:00,7.0,Ножовка
228151,2022-10-03 08:00:00,8.9,Ножовка
228159,2022-10-02 08:00:00,7.9,Ножовка
228167,2022-10-01 08:00:00,5.2,Ножовка
228175,2022-09-30 08:00:00,2.2,Ножовка
228183,2022-09-29 08:00:00,-0.9,Ножовка
228191,2022-09-28 08:00:00,-1.7,Ножовка
228199,2022-09-27 08:00:00,-1.0,Ножовка
228207,2022-09-26 08:00:00,6.7,Ножовка
228215,2022-09-25 08:00:00,12.4,Ножовка
228223,2022-09-24 08:00:00,13.6,Ножовка
228231,2022-09-23 08:00:00,11.2,Ножовка
228239,2022-09-22 08:00:00,13.3,Ножовка
228247,2022-09-21 08:00:00,6.0,Ножовка
228255,2022-09-20 08:00:00,17.8,Ножовка
228263,2022-09-19 08:00:00,14.6,Ножовка
228271,2022-09-18 08:00:00,11.1,Ножовка
228279,2022-09-17 08:00:00,9.9,Ножовка
228287,2022-09-16 08:00:00,12.5,Ножовка
228295,2022-09-15 08:00:00,12.2,Ножовка
228303,2022-09-14 08:00:00,6.3,Ножовка
228311,2022-09-13 08:00:00,5.8,Ножовка
228319,2022-09-12 08:00:00,7.1,Ножовка
228327,2022-09-11 08:00:00,6.9,Ножовка
228335,2022-09-10 08:00:00,2.4,Ножовка
228343,2022-09-09 08:00:00,7.3,Ножовка
228351,2022-09-08 08:00:00,8.3,Ножовка
228359,2022-09-07 08:00:00,6.0,Ножовка
228367,2022-09-06 08:00:00,7.4,Ножовка
228375,2022-09-05 08:00:00,4.5,Ножовка
228383,2022-09-04 08:00:00,8.4,Ножовка
228391,2022-09-03 08:00:00,9.8,Ножовка
228399,2022-09-02 08:00:00,15.6,Ножовка
228407,2022-09-01 08:00:00,17.1,Ножовка
228415,2022-08-31 08:00:00,20.0,Ножовка
228423,2022-08-30 08:00:00,20.8,Ножовка
228431,2022-08-29 08:00:00,15.6,Ножовка
228439,2022-08-28 08:00:00,12.7,Ножовка
228447,2022-08-27 08:00:00,14.5,Ножовка
228455,2022-08-26 08:00:00,18.6,Ножовка
228463,2022-08-25 08:00:00,17.4,Ножовка
228471,2022-08-24 08:00:00,14.4,Ножовка
228479,2022-08-23 08:00:00,13.2,Ножовка
228487,2022-08-22 08:00:00,16.6,Ножовка
228495,2022-08-21 08:00:00,15.8,Ножовка
228503,2022-08-20 08:00:00,12.1,Ножовка
228511,2022-08-19 08:00:00,12.7,Ножовка
228519,2022-08-18 08:00:00,14.0,Ножовка
228527,2022-08-17 08:00:00,14.7,Ножовка
228535,2022-08-16 08:00:00,13.9,Ножовка
228543,2022-08-15 08:00:00,16.0,Ножовка
228551,2022-08-14 08:00:00,12.5,Ножовка
228559,2022-08-13 08:00:00,18.0,Ножовка
228567,2022-08-12 08:00:00,15.5,Ножовка
228575,2022-08-11 08:00:00,15.8,Ножовка
228583,2022-08-10 08:00:00,21.0,Ножовка
228591,2022-08-09 08:00:00,21.4,Ножовка
228599,2022-08-08 08:00:00,20.5,Ножовка
228607,2022-08-07 08:00:00,21.1,Ножовка
228615,2022-08-06 08:00:00,19.5,Ножовка
228623,2022-08-05 08:00:00,18.1,Ножовка
228631,2022-08-04 08:00:00,19.1,Ножовка
228639,2022-08-03 08:00:00,17.1,Ножовка
228647,2022-08-02 08:00:00,17.4,Ножовка
228655,2022-08-01 08:00:00,17.8,Ножовка
228663,2022-07-31 08:00:00,18.7,Ножовка
228671,2022-07-30 08:00:00,19.0,Ножовка
228675,2022-07-29 08:00:00,18.0,Ножовка
228683,2022-07-28 08:00:00,17.8,Ножовка
228691,2022-07-27 08:00:00,17.2,Ножовка
228699,2022-07-26 08:00:00,20.5,Ножовка
228707,2022-07-25 08:00:00,20.9,Ножовка
228715,2022-07-24 08:00:00,19.5,Ножовка
228723,2022-07-23 08:00:00,19.3,Ножовка
228731,2022-07-22 08:00:00,17.2,Ножовка
228739,2022-07-21 08:00:00,15.8,Ножовка
228747,2022-07-20 08:00:00,15.8,Ножовка
228755,2022-07-19 08:00:00,20.4,Ножовка
228763,2022-07-18 08:00:00,20.4,Ножовка
228771,2022-07-17 08:00:00,21.0,Ножовка
228779,2022-07-16 08:00:00,17.9,Ножовка
228787,2022-07-15 08:00:00,21.4,Ножовка
228795,2022-07-14 08:00:00,24.8,Ножовка
228803,2022-07-13 08:00:00,21.0,Ножовка
228811,2022-07-12 08:00:00,23.6,Ножовка
228819,2022-07-11 08:00:00,23.7,Ножовка
228827,2022-07-10 08:00:00,21.7,Ножовка
228835,2022-07-09 08:00:00,21.8,Ножовка
228843,2022-07-08 08:00:00,19.3,Ножовка
228851,2022-07-07 08:00:00,17.0,Ножовка
228858,2022-07-06 08:00:00,18.0,Ножовка
228866,2022-07-05 08:00:00,11.6,Ножовка
228874,2022-07-04 08:00:00,15.9,Ножовка
228882,2022-07-03 08:00:00,16.4,Ножовка
228890,2022-07-02 08:00:00,13.4,Ножовка
228898,2022-07-01 08:00:00,12.1,Ножовка
228906,2022-06-30 08:00:00,13.3,Ножовка
228914,2022-06-29 08:00:00,8.3,Ножовка
228922,2022-06-28 08:00:00,8.6,Ножовка
228929,2022-06-27 08:00:00,13.5,Ножовка
228937,2022-06-26 08:00:00,12.2,Ножовка
228945,2022-06-25 08:00:00,17.2,Ножовка
228953,2022-06-24 08:00:00,15.2,Ножовка
228961,2022-06-23 08:00:00,16.8,Ножовка
228969,2022-06-22 08:00:00,15.1,Ножовка
228977,2022-06-21 08:00:00,12.6,Ножовка
228985,2022-06-20 08:00:00,13.4,Ножовка
228993,2022-06-19 08:00:00,16.6,Ножовка
229001,2022-06-18 08:00:00,14.6,Ножовка
229009,2022-06-17 08:00:00,17.2,Ножовка
229017,2022-06-16 08:00:00,18.9,Ножовка
229025,2022-06-15 08:00:00,16.7,Ножовка
229033,2022-06-14 08:00:00,13.0,Ножовка
229041,2022-06-13 08:00:00,12.5,Ножовка
229049,2022-06-12 08:00:00,6.8,Ножовка
229057,2022-06-11 08:00:00,14.5,Ножовка
229065,2022-06-10 08:00:00,13.9,Ножовка
229073,2022-06-09 08:00:00,12.4,Ножовка
229081,2022-06-08 08:00:00,13.0,Ножовка
229089,2022-06-07 08:00:00,12.4,Ножовка
229097,2022-06-06 08:00:00,13.8,Ножовка
229102,2022-06-05 08:00:00,13.7,Ножовка
229110,2022-06-04 08:00:00,14.7,Ножовка
229116,2022-06-03 08:00:00,18.7,Ножовка
229124,2022-06-02 08:00:00,15.5,Ножовка
229132,2022-06-01 08:00:00,12.2,Ножовка
229140,2022-05-31 08:00:00,11.2,Ножовка
229148,2022-05-30 08:00:00,11.6,Ножовка
229156,2022-05-29 08:00:00,10.9,Ножовка
229164,2022-05-28 08:00:00,12.1,Ножовка
229172,2022-05-27 08:00:00,11.5,Ножовка
229180,2022-05-26 08:00:00,6.2,Ножовка
229188,2022-05-25 08:00:00,10.2,Ножовка
229196,2022-05-24 08:00:00,5.0,Ножовка
229204,2022-05-23 08:00:00,4.3,Ножовка
229212,2022-05-22 08:00:00,3.4,Ножовка
229220,2022-05-21 08:00:00,4.8,Ножовка
229228,2022-05-20 08:00:00,5.9,Ножовка
229236,2022-05-19 08:00:00,5.6,Ножовка
229244,2022-05-18 08:00:00,9.1,Ножовка
229252,2022-05-17 08:00:00,9.9,Ножовка
229260,2022-05-16 08:00:00,10.4,Ножовка
229268,2022-05-15 08:00:00,9.6,Ножовка
229276,2022-05-14 08:00:00,8.0,Ножовка
229284,2022-05-13 08:00:00,7.8,Ножовка
229292,2022-05-12 08:00:00,6.9,Ножовка
229300,2022-05-11 08:00:00,12.0,Ножовка
229308,2022-05-10 08:00:00,12.4,Ножовка
229316,2022-05-09 08:00:00,9.7,Ножовка
229324,2022-05-08 08:00:00,8.8,Ножовка
229332,2022-05-07 08:00:00,5.0,Ножовка
229340,2022-05-06 08:00:00,1.8,Ножовка
229348,2022-05-05 08:00:00,5.3,Ножовка
229356,2022-05-04 08:00:00,10.6,Ножовка
229364,2022-05-03 08:00:00,6.8,Ножовка
229372,2022-05-02 08:00:00,2.5,Ножовка
229380,2022-05-01 08:00:00,3.3,Ножовка
229388,2022-04-30 08:00:00,0.7,Ножовка
229396,2022-04-29 08:00:00,0.8,Ножовка
229404,2022-04-28 08:00:00,13.0,Ножовка
229412,2022-04-27 08:00:00,12.4,Ножовка
229420,2022-04-26 08:00:00,10.1,Ножовка
229428,2022-04-25 08:00:00,6.0,Ножовка
229436,2022-04-24 08:00:00,2.4,Ножовка
229444,2022-04-23 08:00:00,0.7,Ножовка
229452,2022-04-22 08:00:00,-1.9,Ножовка
229460,2022-04-21 08:00:00,3.3,Ножовка
229468,2022-04-20 08:00:00,2.1,Ножовка
229476,2022-04-19 08:00:00,1.1,Ножовка
229484,2022-04-18 08:00:00,0.3,Ножовка
229492,2022-04-17 08:00:00,-0.1,Ножовка
229500,2022-04-16 08:00:00,-0.1,Ножовка
229508,2022-04-15 08:00:00,7.2,Ножовка
229516,2022-04-14 08:00:00,2.0,Ножовка
229524,2022-04-13 08:00:00,5.7,Ножовка
229532,2022-04-12 08:00:00,6.0,Ножовка
229540,2022-04-11 08:00:00,6.5,Ножовка
229548,2022-04-10 08:00:00,6.6,Ножовка
229556,2022-04-09 08:00:00,1.0,Ножовка
229564,2022-04-08 08:00:00,-0.5,Ножовка
229572,2022-04-07 08:00:00,0.5,Ножовка
229580,2022-04-06 08:00:00,-3.0,Ножовка
229588,2022-04-05 08:00:00,-1.1,Ножовка
229596,2022-04-04 08:00:00,2.7,Ножовка
229604,2022-04-03 08:00:00,1.9,Ножовка
229612,2022-04-02 08:00:00,-1.9,Ножовка
229620,2022-04-01 08:00:00,-4.1,Ножовка
229628,2022-03-31 08:00:00,-12.8,Ножовка
229636,2022-03-30 08:00:00,-6.0,Ножовка
229644,2022-03-29 08:00:00,-7.9,Ножовка
229652,2022-03-28 08:00:00,-1.8,Ножовка
229660,2022-03-27 08:00:00,-0.8,Ножовка
229668,2022-03-26 08:00:00,-9.0,Ножовка
229676,2022-03-25 08:00:00,-1.3,Ножовка
229684,2022-03-24 08:00:00,-4.1,Ножовка
229692,2022-03-23 08:00:00,-6.6,Ножовка
229700,2022-03-22 08:00:00,-6.9,Ножовка
229708,2022-03-21 08:00:00,-2.2,Ножовка
229716,2022-03-20 08:00:00,-9.4,Ножовка
229724,2022-03-19 08:00:00,-9.3,Ножовка
229732,2022-03-18 08:00:00,-15.6,Ножовка
229740,2022-03-17 08:00:00,-22.3,Ножовка
229748,2022-03-16 08:00:00,-15.1,Ножовка
229756,2022-03-15 08:00:00,-14.4,Ножовка
229764,2022-03-14 08:00:00,-10.2,Ножовка
229772,2022-03-13 08:00:00,-24.4,Ножовка
229780,2022-03-12 08:00:00,-24.4,Ножовка
229788,2022-03-11 08:00:00,-17.1,Ножовка
229796,2022-03-10 08:00:00,-25.0,Ножовка
229804,2022-03-09 08:00:00,-24.1,Ножовка
229812,2022-03-08 08:00:00,-26.9,Ножовка
229820,2022-03-07 08:00:00,-14.6,Ножовка
229828,2022-03-06 08:00:00,-11.9,Ножовка
229836,2022-03-05 08:00:00,-7.6,Ножовка
229844,2022-03-04 08:00:00,-9.3,Ножовка
229852,2022-03-03 08:00:00,-12.3,Ножовка
229860,2022-03-02 08:00:00,-15.1,Ножовка
229868,2022-03-01 08:00:00,-4.6,Ножовка
229876,2022-02-28 08:00:00,-2.2,Ножовка
229884,2022-02-27 08:00:00,-2.1,Ножовка
229892,2022-02-26 08:00:00,-11.5,Ножовка
229900,2022-02-25 08:00:00,-5.1,Ножовка
229908,2022-02-24 08:00:00,0.7,Ножовка
229916,2022-02-23 08:00:00,1.0,Ножовка
229924,2022-02-22 08:00:00,-3.2,Ножовка
229932,2022-02-21 08:00:00,0.4,Ножовка
229940,2022-02-20 08:00:00,-5.5,Ножовка
229948,2022-02-19 08:00:00,-7.9,Ножовка
229956,2022-02-18 08:00:00,-11.3,Ножовка
229964,2022-02-17 08:00:00,-9.9,Ножовка
229972,2022-02-16 08:00:00,-4.7,Ножовка
229980,2022-02-15 08:00:00,-9.5,Ножовка
229988,2022-02-14 08:00:00,-9.2,Ножовка
229996,2022-02-13 08:00:00,-5.3,Ножовка
230004,2022-02-12 08:00:00,-7.1,Ножовка
230012,2022-02-11 08:00:00,-6.6,Ножовка
230020,2022-02-10 08:00:00,-5.9,Ножовка
230028,2022-02-09 08:00:00,-13.1,Ножовка
230036,2022-02-08 08:00:00,-11.3,Ножовка
230044,2022-02-07 08:00:00,-9.1,Ножовка
230052,2022-02-06 08:00:00,-7.2,Ножовка
230060,2022-02-05 08:00:00,-2.4,Ножовка
230068,2022-02-04 08:00:00,-4.3,Ножовка
230076,2022-02-03 08:00:00,-1.9,Ножовка
230084,2022-02-02 08:00:00,-1.6,Ножовка
230092,2022-02-01 08:00:00,-2.8,Ножовка
230100,2022-01-31 08:00:00,-9.3,Ножовка
230108,2022-01-30 08:00:00,-16.7,Ножовка
230116,2022-01-29 08:00:00,-15.9,Ножовка
230124,2022-01-28 08:00:00,-15.9,Ножовка
230132,2022-01-27 08:00:00,-13.6,Ножовка
230140,2022-01-26 08:00:00,-18.2,Ножовка
230148,2022-01-25 08:00:00,-11.9,Ножовка
230156,2022-01-24 08:00:00,-8.4,Ножовка
230164,2022-01-23 08:00:00,-10.7,Ножовка
230172,2022-01-22 08:00:00,-17.9,Ножовка
230180,2022-01-21 08:00:00,-7.5,Ножовка
230188,2022-01-20 08:00:00,-5.0,Ножовка
230196,2022-01-19 08:00:00,-1.8,Ножовка
230204,2022-01-18 08:00:00,-6.2,Ножовка
230212,2022-01-17 08:00:00,-8.9,Ножовка
230220,2022-01-16 08:00:00,-12.9,Ножовка
230228,2022-01-15 08:00:00,-11.8,Ножовка
230236,2022-01-14 08:00:00,-9.6,Ножовка
230244,2022-01-13 08:00:00,-19.4,Ножовка
230252,2022-01-12 08:00:00,-15.2,Ножовка
230260,2022-01-11 08:00:00,-15.0,Ножовка
230268,2022-01-10 08:00:00,-11.8,Ножовка
230276,2022-01-09 08:00:00,-13.5,Ножовка
230284,2022-01-08 08:00:00,-4.9,Ножовка
230292,2022-01-07 08:00:00,-7.6,Ножовка
230300,2022-01-06 08:00:00,-26.4,Ножовка
230308,2022-01-05 08:00:00,-21.5,Ножовка
230316,2022-01-04 08:00:00,-14.1,Ножовка
230324,2022-01-03 08:00:00,-10.4,Ножовка
230332,2022-01-02 08:00:00,-6.3,Ножовка
230340,2022-01-01 08:00:00,-9.3,Ножовка
230348,2021-12-31 08:00:00,-12.8,Ножовка
230356,2021-12-30 08:00:00,-19.6,Ножовка
230364,2021-12-29 08:00:00,-17.4,Ножовка
230372,2021-12-28 08:00:00,-15.7,Ножовка
230380,2021-12-27 08:00:00,-10.4,Ножовка
230388,2021-12-26 08:00:00,-8.8,Ножовка
230396,2021-12-25 08:00:00,-20.6,Ножовка
230404,2021-12-24 08:00:00,-25.3,Ножовка
230412,2021-12-23 08:00:00,-20.7,Ножовка
230420,2021-12-22 08:00:00,-5.4,Ножовка
230428,2021-12-21 08:00:00,-3.6,Ножовка
230436,2021-12-20 08:00:00,-6.2,Ножовка
230444,2021-12-19 08:00:00,-5.9,Ножовка
230452,2021-12-18 08:00:00,-3.4,Ножовка
230460,2021-12-17 08:00:00,-3.0,Ножовка
230468,2021-12-16 08:00:00,-4.7,Ножовка
230476,2021-12-15 08:00:00,-6.7,Ножовка
230484,2021-12-14 08:00:00,-7.9,Ножовка
230492,2021-12-13 08:00:00,-23.6,Ножовка
230500,2021-12-12 08:00:00,-24.0,Ножовка
230508,2021-12-11 08:00:00,-17.4,Ножовка
230516,2021-12-10 08:00:00,-5.2,Ножовка
230524,2021-12-09 08:00:00,-2.1,Ножовка
230532,2021-12-08 08:00:00,-13.8,Ножовка
230540,2021-12-07 08:00:00,-25.4,Ножовка
230548,2021-12-06 08:00:00,-19.6,Ножовка
230556,2021-12-05 08:00:00,-1.4,Ножовка
230564,2021-12-04 08:00:00,0.2,Ножовка
230572,2021-12-03 08:00:00,-5.0,Ножовка
230580,2021-12-02 08:00:00,-0.4,Ножовка
230588,2021-12-01 08:00:00,2.6,Ножовка
230596,2021-11-30 08:00:00,-0.1,Ножовка
230604,2021-11-29 08:00:00,-1.9,Ножовка
230612,2021-11-28 08:00:00,-6.9,Ножовка
230620,2021-11-27 08:00:00,-0.8,Ножовка
230628,2021-11-26 08:00:00,-5.7,Ножовка
230636,2021-11-25 08:00:00,-10.4,Ножовка
230644,2021-11-24 08:00:00,-7.7,Ножовка
230652,2021-11-23 08:00:00,-3.9,Ножовка
230660,2021-11-22 08:00:00,-2.7,Ножовка
230668,2021-11-21 08:00:00,-2.8,Ножовка
230676,2021-11-20 08:00:00,-2.3,Ножовка
230684,2021-11-19 08:00:00,-1.9,Ножовка
230692,2021-11-18 08:00:00,-21.4,Ножовка
230700,2021-11-17 08:00:00,-2.6,Ножовка
230708,2021-11-16 08:00:00,-8.2,Ножовка
230716,2021-11-15 08:00:00,-14.1,Ножовка
230724,2021-11-14 08:00:00,-2.2,Ножовка
230732,2021-11-13 08:00:00,-1.0,Ножовка
230740,2021-11-12 08:00:00,-0.3,Ножовка
230748,2021-11-11 08:00:00,-7.0,Ножовка
230756,2021-11-10 08:00:00,-4.4,Ножовка
230764,2021-11-09 08:00:00,4.6,Ножовка
230772,2021-11-08 08:00:00,1.5,Ножовка
230780,2021-11-07 08:00:00,1.9,Ножовка
230788,2021-11-06 08:00:00,2.9,Ножовка
230796,2021-11-05 08:00:00,1.0,Ножовка
230804,2021-11-04 08:00:00,-2.4,Ножовка
230812,2021-11-03 08:00:00,-3.4,Ножовка
230820,2021-11-02 08:00:00,-1.9,Ножовка
230828,2021-11-01 08:00:00,6.0,Ножовка
230836,2021-10-31 08:00:00,6.0,Ножовка
230844,2021-10-30 08:00:00,-2.0,Ножовка
230852,2021-10-29 08:00:00,-5.9,Ножовка
230860,2021-10-28 08:00:00,1.4,Ножовка
230868,2021-10-27 08:00:00,0.1,Ножовка
230876,2021-10-26 08:00:00,-2.4,Ножовка
230884,2021-10-25 08:00:00,4.1,Ножовка
230892,2021-10-24 08:00:00,4.2,Ножовка
230900,2021-10-23 08:00:00,8.1,Ножовка
230908,2021-10-22 08:00:00,5.2,Ножовка
230916,2021-10-21 08:00:00,0.2,Ножовка
230924,2021-10-20 08:00:00,-0.5,Ножовка
230932,2021-10-19 08:00:00,6.6,Ножовка
230940,2021-10-18 08:00:00,6.2,Ножовка
230948,2021-10-17 08:00:00,3.8,Ножовка
230956,2021-10-16 08:00:00,6.6,Ножовка
230964,2021-10-15 08:00:00,7.6,Ножовка
230972,2021-10-14 08:00:00,3.3,Ножовка
230980,2021-10-13 08:00:00,-0.3,Ножовка
230988,2021-10-12 08:00:00,7.8,Ножовка
230996,2021-10-11 08:00:00,6.7,Ножовка
231004,2021-10-10 08:00:00,5.7,Ножовка
231012,2021-10-09 08:00:00,-0.5,Ножовка
231020,2021-10-08 08:00:00,-2.1,Ножовка
231028,2021-10-07 08:00:00,1.5,Ножовка
231036,2021-10-06 08:00:00,2.3,Ножовка
231044,2021-10-05 08:00:00,-6.0,Ножовка
231052,2021-10-04 08:00:00,-2.4,Ножовка
231060,2021-10-03 08:00:00,2.0,Ножовка
231068,2021-10-02 08:00:00,5.5,Ножовка
231076,2021-10-01 08:00:00,6.5,Ножовка
231084,2021-09-30 08:00:00,1.3,Ножовка
231092,2021-09-29 08:00:00,-2.3,Ножовка
231100,2021-09-28 08:00:00,2.0,Ножовка
231108,2021-09-27 08:00:00,3.4,Ножовка
231116,2021-09-26 08:00:00,7.5,Ножовка
231124,2021-09-25 08:00:00,7.1,Ножовка
231132,2021-09-24 08:00:00,6.4,Ножовка
231140,2021-09-23 08:00:00,0.9,Ножовка
231148,2021-09-22 08:00:00,0.8,Ножовка
231156,2021-09-21 08:00:00,5.0,Ножовка
231164,2021-09-20 08:00:00,3.4,Ножовка
231172,2021-09-19 08:00:00,2.2,Ножовка
231180,2021-09-18 08:00:00,3.9,Ножовка
231187,2021-09-17 08:00:00,6.8,Ножовка
231195,2021-09-16 08:00:00,5.7,Ножовка
231203,2021-09-15 08:00:00,10.1,Ножовка
231211,2021-09-14 08:00:00,13.6,Ножовка
231219,2021-09-13 08:00:00,3.7,Ножовка
231227,2021-09-12 08:00:00,7.1,Ножовка
231235,2021-09-11 08:00:00,3.3,Ножовка
231243,2021-09-10 08:00:00,7.7,Ножовка
231251,2021-09-09 08:00:00,11.0,Ножовка
231259,2021-09-08 08:00:00,7.2,Ножовка
231267,2021-09-07 08:00:00,3.4,Ножовка
231275,2021-09-06 08:00:00,7.1,Ножовка
231283,2021-09-05 08:00:00,7.1,Ножовка
231291,2021-09-04 08:00:00,11.4,Ножовка
231299,2021-09-03 08:00:00,14.7,Ножовка
231307,2021-09-02 08:00:00,17.5,Ножовка
231315,2021-09-01 08:00:00,8.5,Ножовка
231323,2021-08-31 08:00:00,8.6,Ножовка
231331,2021-08-30 08:00:00,7.6,Ножовка
231339,2021-08-29 08:00:00,6.1,Ножовка
231347,2021-08-28 08:00:00,9.7,Ножовка
231355,2021-08-27 08:00:00,10.5,Ножовка
231363,2021-08-26 08:00:00,14.1,Ножовка
231371,2021-08-25 08:00:00,21.8,Ножовка
231379,2021-08-24 08:00:00,20.4,Ножовка
231387,2021-08-23 08:00:00,19.6,Ножовка
231395,2021-08-22 08:00:00,25.8,Ножовка
231403,2021-08-21 08:00:00,21.6,Ножовка
231411,2021-08-20 08:00:00,20.7,Ножовка
231419,2021-08-19 08:00:00,21.8,Ножовка
231427,2021-08-18 08:00:00,18.6,Ножовка
231435,2021-08-17 08:00:00,20.6,Ножовка
231443,2021-08-16 08:00:00,17.1,Ножовка
231451,2021-08-15 08:00:00,16.9,Ножовка
231459,2021-08-14 08:00:00,20.2,Ножовка
231467,2021-08-13 08:00:00,16.2,Ножовка
231475,2021-08-12 08:00:00,14.5,Ножовка
231483,2021-08-11 08:00:00,14.4,Ножовка
231491,2021-08-10 08:00:00,16.0,Ножовка
231499,2021-08-09 08:00:00,14.1,Ножовка
231507,2021-08-08 08:00:00,13.9,Ножовка
231515,2021-08-07 08:00:00,14.2,Ножовка
231523,2021-08-06 08:00:00,17.1,Ножовка
231531,2021-08-05 08:00:00,18.5,Ножовка
231539,2021-08-04 08:00:00,22.2,Ножовка
231547,2021-08-03 08:00:00,21.9,Ножовка
231555,2021-08-02 08:00:00,17.2,Ножовка
231563,2021-08-01 08:00:00,19.9,Ножовка
231571,2021-07-31 08:00:00,18.5,Ножовка
231579,2021-07-30 08:00:00,17.7,Ножовка
231587,2021-07-29 08:00:00,13.6,Ножовка
231595,2021-07-28 08:00:00,12.1,Ножовка
231603,2021-07-27 08:00:00,15.2,Ножовка
231611,2021-07-26 08:00:00,11.8,Ножовка
231619,2021-07-25 08:00:00,14.0,Ножовка
231627,2021-07-24 08:00:00,16.9,Ножовка
231635,2021-07-23 08:00:00,14.9,Ножовка
231643,2021-07-22 08:00:00,20.0,Ножовка
231651,2021-07-21 08:00:00,19.9,Ножовка
231659,2021-07-20 08:00:00,23.0,Ножовка
231667,2021-07-19 08:00:00,18.1,Ножовка
231675,2021-07-18 08:00:00,20.8,Ножовка
231683,2021-07-17 08:00:00,17.2,Ножовка
231691,2021-07-16 08:00:00,17.7,Ножовка
231699,2021-07-15 08:00:00,17.0,Ножовка
231707,2021-07-14 08:00:00,16.1,Ножовка
231715,2021-07-13 08:00:00,18.3,Ножовка
231723,2021-07-12 08:00:00,12.9,Ножовка
231731,2021-07-11 08:00:00,13.8,Ножовка
231739,2021-07-10 08:00:00,23.4,Ножовка
231747,2021-07-09 08:00:00,21.7,Ножовка
231755,2021-07-08 08:00:00,21.2,Ножовка
231763,2021-07-07 08:00:00,17.6,Ножовка
231771,2021-07-06 08:00:00,16.5,Ножовка
231779,2021-07-05 08:00:00,14.3,Ножовка
231787,2021-07-04 08:00:00,18.6,Ножовка
231795,2021-07-03 08:00:00,21.1,Ножовка
231803,2021-07-02 08:00:00,19.6,Ножовка
231811,2021-07-01 08:00:00,26.0,Ножовка
231819,2021-06-30 08:00:00,26.3,Ножовка
231827,2021-06-29 08:00:00,26.0,Ножовка
231835,2021-06-28 08:00:00,24.3,Ножовка
231843,2021-06-27 08:00:00,22.8,Ножовка
231851,2021-06-26 08:00:00,21.5,Ножовка
231859,2021-06-25 08:00:00,23.3,Ножовка
231867,2021-06-24 08:00:00,19.5,Ножовка
231875,2021-06-23 08:00:00,23.4,Ножовка
231883,2021-06-22 08:00:00,20.2,Ножовка
231891,2021-06-21 08:00:00,14.7,Ножовка
231899,2021-06-20 08:00:00,21.2,Ножовка
231907,2021-06-19 08:00:00,15.1,Ножовка
231915,2021-06-18 08:00:00,13.2,Ножовка
231923,2021-06-17 08:00:00,16.5,Ножовка
231931,2021-06-16 08:00:00,21.6,Ножовка
231939,2021-06-15 08:00:00,20.5,Ножовка
231947,2021-06-14 08:00:00,19.9,Ножовка
231955,2021-06-13 08:00:00,18.2,Ножовка
231963,2021-06-12 08:00:00,17.2,Ножовка
231971,2021-06-11 08:00:00,15.7,Ножовка
231979,2021-06-10 08:00:00,14.1,Ножовка
231987,2021-06-09 08:00:00,12.9,Ножовка
231995,2021-06-08 08:00:00,13.6,Ножовка
232003,2021-06-07 08:00:00,16.6,Ножовка
232011,2021-06-06 08:00:00,14.7,Ножовка
232019,2021-06-05 08:00:00,14.7,Ножовка
232027,2021-06-04 08:00:00,11.7,Ножовка
232035,2021-06-03 08:00:00,11.9,Ножовка
232043,2021-06-02 08:00:00,11.4,Ножовка
232051,2021-06-01 08:00:00,10.4,Ножовка
232059,2021-05-31 08:00:00,7.2,Ножовка
232067,2021-05-30 08:00:00,17.4,Ножовка
232075,2021-05-29 08:00:00,18.3,Ножовка
232083,2021-05-28 08:00:00,11.4,Ножовка
232091,2021-05-27 08:00:00,10.4,Ножовка
232099,2021-05-26 08:00:00,11.5,Ножовка
232107,2021-05-25 08:00:00,14.0,Ножовка
232115,2021-05-24 08:00:00,17.2,Ножовка
232123,2021-05-23 08:00:00,13.0,Ножовка
232131,2021-05-22 08:00:00,17.1,Ножовка
232139,2021-05-21 08:00:00,16.9,Ножовка
232147,2021-05-20 08:00:00,14.5,Ножовка
232155,2021-05-19 08:00:00,13.4,Ножовка
232163,2021-05-18 08:00:00,18.1,Ножовка
232171,2021-05-17 08:00:00,18.4,Ножовка
232179,2021-05-16 08:00:00,19.3,Ножовка
232187,2021-05-15 08:00:00,19.2,Ножовка
232195,2021-05-14 08:00:00,17.8,Ножовка
232203,2021-05-13 08:00:00,15.2,Ножовка
232211,2021-05-12 08:00:00,15.1,Ножовка
232219,2021-05-11 08:00:00,12.8,Ножовка
232227,2021-05-10 08:00:00,14.7,Ножовка
232235,2021-05-09 08:00:00,12.0,Ножовка
232243,2021-05-08 08:00:00,13.1,Ножовка
232251,2021-05-07 08:00:00,10.8,Ножовка
232259,2021-05-06 08:00:00,5.5,Ножовка
232267,2021-05-05 08:00:00,11.5,Ножовка
232275,2021-05-04 08:00:00,16.7,Ножовка
232283,2021-05-03 08:00:00,7.1,Ножовка
232291,2021-05-02 08:00:00,7.3,Ножовка
232299,2021-05-01 08:00:00,9.3,Ножовка
232307,2021-04-30 08:00:00,2.6,Ножовка
232315,2021-04-29 08:00:00,4.5,Ножовка
